"scientificName","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","ClimateZone","param_count_before","param_count_after","PFT","AccSpeciesName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","taxonRank","family","taxonID","references","source"
"Leucadendron meridianum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron meridianum","Accepted",FALSE,"T.M.Salter ex I.Williams","Leucadendron","species","Proteaceae","wfo-0001106994",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron pubescens","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron pubescens","Accepted",FALSE,"R.Br.","Leucadendron","species","Proteaceae","wfo-0001107010",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron rubrum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron rubrum","Accepted",FALSE,"Burm.f.","Leucadendron","species","Proteaceae","wfo-0001107021",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron salicifolium","shrub","broadleaved","evergreen","C3",NA,3,4,"ESH","Leucadendron salicifolium","Accepted",FALSE,"(Salisb.) I.Williams","Leucadendron","species","Proteaceae","wfo-0001107023",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron salignum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron salignum","Accepted",FALSE,"P.J.Bergius","Leucadendron","species","Proteaceae","wfo-0001420840",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron spissifolium","shrub","broadleaved","evergreen","C3",NA,2,4,"ESH","Leucadendron spissifolium","Accepted",FALSE,"(Salisb. ex Knight) I.Williams","Leucadendron","species","Proteaceae","wfo-0001107035",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron xanthoconus","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron xanthoconus","Accepted",FALSE,"(Kuntze) K.Schum.","Leucadendron","species","Proteaceae","wfo-0001107063",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucaena leucocephala","shrub/tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Leucaena leucocephala","Accepted",FALSE,"(Lam.) de Wit","Leucaena","species","Fabaceae","wfo-0000164084","https://www.legumedata.org/taxonomy/taxon/2346347","The Fabaceae TEN - Legume Taxonomy Working Group"
"Leucosidea sericea","shrub/tree","broadleaved","evergreen","C3","temperate",4,5,"BET-Te","Leucosidea sericea","Accepted",FALSE,"Eckl. & Zeyh.","Leucosidea","species","Rosaceae","wfo-0000986071","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:725970-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucospermum bolusii","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Leucospermum bolusii","Accepted",FALSE,"Gand.","Leucospermum","species","Proteaceae","wfo-0001420841",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucospermum conocarpodendron","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucospermum conocarpodendron","Accepted",FALSE,"(L.) H.Buek","Leucospermum","species","Proteaceae","wfo-0001106465",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucospermum cordifolium","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucospermum cordifolium","Accepted",FALSE,"(Knight) Fourc.","Leucospermum","species","Proteaceae","wfo-0001106466",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucospermum hypophyllocarpodendron","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucospermum hypophyllocarpodendron","Accepted",FALSE,"(L.) Druce","Leucospermum","species","Proteaceae","wfo-0001106881",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucospermum tomentosum","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Leucospermum tomentosum","Accepted",FALSE,"(Thunb.) R.Br.","Leucospermum","species","Proteaceae","wfo-0001106904",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Librevillea klainei","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Librevillea klainei","Accepted",FALSE,"(Pierre ex Harms) Hoyle","Librevillea","species","Fabaceae","wfo-0000169487","https://www.legumedata.org/taxonomy/taxon/2351335","The Fabaceae TEN - Legume Taxonomy Working Group"
"Limonium echioides","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Limonium echioides","Accepted",FALSE,"(L.) Mill.","Limonium","species","Plumbaginaceae","wfo-0000444376","https://caryophyllales.org/cdm_dataportal/taxon/6a0e3598-c14c-423b-90df-dbc6a01ead28","The Caryophyllales TEN -The Caryophyllales Network"
